episodio,inicio_art,fin_periodo_art,n_periodos,duracion_fuera_rango_min,t_cruce_periodo_art,t_cruce_interp_art,avg_prev_c,avg_primer_periodo_c,secuencia_avg_c,pico_avg_c,pico_max_c,momento_pico_art,min_cruce_a_pico,dist_max_avg_c,dist_max_max_c,inicio_recuperacion_art,min_pico_a_normal,min_cruce_a_normal,v_heat_mean_c_min,v_heat_max_c_min,v_rec_mean_c_min,v_rec_max_c_min,pendiente_primeros_10min_c_min
E01,2026-08-19 14:12,2026-08-19 14:32,5,25.0,14:12,14:09:38,-15.985,-13.818,-13.82|-11.79|-9.78|-11.36|-14.21,-9.783,-9.562,14:22,10.0,5.217,5.438,14:22,15.0,25.0,0.413,0.434,-0.443,-0.569,0.413
E02,2026-08-19 21:42,2026-08-19 21:42,1,5.0,21:42,21:42:19,-19.955,-14.893,-14.89,-14.893,-14.062,21:42,0.0,0.107,0.938,21:42,5.0,5.0,1.013,1.013,,,1.013
E03,2026-08-20 13:32,2026-08-20 13:57,6,30.0,13:32,13:28:58,-15.293,-14.239,-14.24|-13.01|-11.66|-10.90|-12.11|-13.84,-10.904,-10.75,13:47,15.0,4.096,4.25,13:47,15.0,30.0,0.219,0.27,-0.294,-0.347,0.242
E04,2026-08-21 15:22,2026-08-21 15:52,7,35.0,15:22,15:19:13,-15.409,-13.946,-13.95|-12.24|-10.77|-10.09|-11.33|-13.12|-14.73,-10.088,-9.938,15:37,15.0,4.912,5.062,15:37,20.0,35.0,0.266,0.342,-0.309,-0.358,0.309
E05,2026-08-22 07:37,2026-08-22 08:12,8,40.0,07:37,07:37:51,-15.098,-14.998,-15.00|-14.90|-14.81|-14.71|-14.63|-14.54|-14.46|-14.41,-14.407,-14.312,08:12,35.0,0.593,0.688,08:12,5.0,40.0,0.017,0.02,,,0.019
E06,2026-08-22 09:42,2026-08-22 11:08,18,90.0,09:42,09:39:12,-15.032,-14.901,-14.90|-14.75|-14.62|-14.49|-14.37|-14.26|-14.15|-14.04|-13.95|-13.85|-13.76|-13.67|-13.58|-13.49|-13.40|-13.32|-13.38|-14.36,-13.324,-13.25,10:58,75.0,1.676,1.75,10:58,15.0,90.0,0.021,0.029,-0.103,-0.196,0.028
E07,2026-08-22 12:08,2026-08-22 13:03,12,60.0,12:08,12:06:59,-15.14,-14.965,-14.96|-14.81|-14.66|-14.52|-14.40|-14.28|-14.16|-14.06|-13.96|-13.85|-13.80|-14.43,-13.798,-13.75,12:58,50.0,1.202,1.25,12:58,10.0,60.0,0.024,0.035,-0.125,-0.125,0.032
E08,2026-08-22 13:48,2026-08-22 13:58,3,15.0,13:48,13:43:21,-15.136,-13.175,-13.18|-13.02|-13.47,-13.016,-12.25,13:53,5.0,1.984,2.75,13:53,10.0,15.0,0.212,0.392,-0.09,-0.09,0.111
E09,2026-08-22 18:43,2026-08-22 18:58,4,20.0,18:43,18:40:57,-16.272,-14.074,-14.07|-11.87|-9.09|-12.50,-9.095,-8.5,18:53,10.0,5.905,6.5,18:53,10.0,20.0,0.478,0.554,-0.68,-0.68,0.478
E10,2026-08-23 06:43,2026-08-23 06:48,2,10.0,06:43,06:41:38,-15.077,-14.966,-14.97|-14.88,-14.88,-14.75,06:48,5.0,0.12,0.25,06:48,5.0,10.0,0.02,0.022,,,0.02
