episodio,fecha,hora,min_desde_cruce,avg_c,min_c,max_c,dist_sobre_umbral_c,pendiente_2p_c_min,pendiente_linreg3_c_min,tendencia,es_pico,alarma_estrategias
E01,2026-08-19,14:12,0.0,-13.818,-14.875,-12.812,1.182,0.434,0.385,ASC,False,
E01,2026-08-19,14:17,5.0,-11.79,-12.75,-10.375,3.21,0.406,0.42,ASC,False,
E01,2026-08-19,14:22,10.0,-9.783,-10.312,-9.562,5.217,0.401,0.403,ASC,True,C_bandas_15_10_5|C_bandas_15_8_0|D_dinamica_k3_T15|D_dinamica_k2_T20|D_dinamica_k3_T15_sinRec
E01,2026-08-19,14:27,15.0,-11.365,-12.75,-10.125,3.635,-0.316,0.043,EST,False,A_solo_tiempo
E01,2026-08-19,14:32,20.0,-14.21,-15.438,-12.812,0.79,-0.569,-0.443,DESC,False,
E02,2026-08-19,21:42,0.0,-14.893,-15.75,-14.062,0.107,1.013,0.769,ASC,True,
E03,2026-08-20,13:32,0.0,-14.239,-14.812,-13.625,0.761,0.211,0.179,ASC,False,
E03,2026-08-20,13:37,5.0,-13.01,-13.625,-12.438,1.99,0.246,0.228,ASC,False,
E03,2026-08-20,13:42,10.0,-11.66,-12.438,-10.875,3.34,0.27,0.258,ASC,False,C_bandas_15_10_5|C_bandas_15_8_0|D_dinamica_k3_T15|D_dinamica_k3_T15_sinRec
E03,2026-08-20,13:47,15.0,-10.904,-11.312,-10.75,4.096,0.151,0.211,ASC,True,A_solo_tiempo|B_tiempo_tendencia|D_dinamica_k2_T20
E03,2026-08-20,13:52,20.0,-12.105,-12.938,-11.312,2.895,-0.24,-0.044,EST,False,
E03,2026-08-20,13:57,25.0,-13.842,-14.625,-13.0,1.158,-0.347,-0.294,DESC,False,
E04,2026-08-21,15:22,0.0,-13.946,-14.75,-13.125,1.054,0.293,0.245,ASC,False,
E04,2026-08-21,15:27,5.0,-12.236,-13.062,-11.5,2.764,0.342,0.317,ASC,False,
E04,2026-08-21,15:32,10.0,-10.768,-11.438,-10.062,4.232,0.294,0.318,ASC,False,C_bandas_15_10_5|C_bandas_15_8_0|D_dinamica_k3_T15|D_dinamica_k3_T15_sinRec
E04,2026-08-21,15:37,15.0,-10.088,-10.5,-9.938,4.912,0.136,0.215,ASC,True,A_solo_tiempo|B_tiempo_tendencia|D_dinamica_k2_T20
E04,2026-08-21,15:42,20.0,-11.329,-12.188,-10.562,3.671,-0.248,-0.056,DESC,False,
E04,2026-08-21,15:47,25.0,-13.119,-13.938,-12.25,1.881,-0.358,-0.303,DESC,False,
E04,2026-08-21,15:52,30.0,-14.726,-15.375,-14.0,0.274,-0.322,-0.34,DESC,False,
E05,2026-08-22,07:37,0.0,-14.998,-15.062,-14.938,0.002,0.02,0.02,ASC,False,
E05,2026-08-22,07:42,5.0,-14.903,-14.938,-14.875,0.097,0.019,0.019,EST,False,
E05,2026-08-22,07:47,10.0,-14.807,-14.875,-14.75,0.193,0.019,0.019,EST,False,
