metodo,deadband,detecta_ascenso,detecta_recuperacion,error_desc_prematuro,error_asc_tardio,estable_en_basal,cambios_etiqueta_por_muestra,score
slope_2p,0.03,0.453,0.698,0.009,0.029,0.08,0.189,0.9550000000000001
val_vs_mm3,0.03,0.47,0.619,0.009,0.0,0.079,0.175,0.9355
slope_2p,0.05,0.325,0.683,0.009,0.0,0.226,0.18,0.923
slope_2p,0.1,0.197,0.571,0.0,0.0,0.546,0.152,0.8889999999999999
linreg_3p,0.03,0.47,0.587,0.017,0.0,0.081,0.184,0.8795
slope_3p_ep,0.03,0.47,0.587,0.017,0.0,0.081,0.184,0.8795
slope_2p,0.08,0.205,0.603,0.0,0.0,0.44,0.157,0.871
slope_2p,0.15,0.179,0.476,0.0,0.0,0.714,0.143,0.869
linreg_3p,0.05,0.35,0.508,0.0,0.0,0.222,0.157,0.8119999999999999
slope_3p_ep,0.05,0.35,0.508,0.0,0.0,0.222,0.157,0.8119999999999999
val_vs_mm3,0.05,0.333,0.571,0.009,0.0,0.216,0.184,0.81
val_vs_mm3,0.1,0.197,0.476,0.0,0.0,0.539,0.134,0.8085000000000001
val_vs_mm3,0.08,0.205,0.524,0.0,0.0,0.433,0.152,0.7935
slope_3p_ep,0.15,0.179,0.302,0.0,0.0,0.721,0.12,0.7214999999999999
linreg_3p,0.15,0.179,0.302,0.0,0.0,0.721,0.12,0.7214999999999999
val_vs_mm3,0.15,0.179,0.302,0.0,0.0,0.716,0.12,0.719
mm_2v2,0.03,0.496,0.349,0.009,0.0,0.09,0.161,0.711
linreg_3p,0.1,0.188,0.365,0.0,0.0,0.537,0.12,0.7014999999999999
slope_3p_ep,0.1,0.188,0.365,0.0,0.0,0.537,0.12,0.7014999999999999
slope_3p_ep,0.08,0.205,0.413,0.0,0.0,0.434,0.134,0.701
linreg_3p,0.08,0.205,0.413,0.0,0.0,0.434,0.134,0.701
linreg_4p,0.03,0.496,0.365,0.009,0.029,0.092,0.161,0.699
slope_4p_ep,0.03,0.496,0.365,0.0,0.057,0.094,0.166,0.6849999999999999
mm_2v2,0.05,0.359,0.302,0.0,0.0,0.231,0.143,0.6335000000000001
slope_4p_ep,0.05,0.359,0.317,0.0,0.029,0.227,0.143,0.6174999999999999
linreg_4p,0.05,0.359,0.317,0.0,0.029,0.226,0.143,0.6169999999999999
linreg_4p,0.15,0.154,0.19,0.0,0.0,0.729,0.115,0.5934999999999999
mm_2v2,0.08,0.205,0.27,0.0,0.0,0.437,0.106,0.5875
mm_2v2,0.15,0.154,0.175,0.0,0.0,0.724,0.111,0.58
linreg_4p,0.08,0.205,0.286,0.0,0.029,0.44,0.111,0.571
mm_2v2,0.1,0.179,0.238,0.0,0.0,0.541,0.12,0.5675
slope_4p_ep,0.15,0.154,0.175,0.0,0.029,0.733,0.111,0.5555
slope_4p_ep,0.08,0.205,0.27,0.0,0.029,0.44,0.115,0.5509999999999999
slope_4p_ep,0.1,0.179,0.238,0.0,0.029,0.544,0.12,0.54
linreg_4p,0.1,0.179,0.222,0.0,0.029,0.542,0.115,0.528
