episodio,pico_avg_c,dist_max_avg_c,min_cruce_a_pico,v_heat_mean_c_min,v_heat_max_c_min,v_rec_mean_c_min,v_rec_max_c_min,pendiente_primeros_10min_c_min
E01,-9.783,5.217,10.0,0.413,0.434,-0.443,-0.569,0.413
E02,-14.893,0.107,0.0,1.013,1.013,,,1.013
E03,-10.904,4.096,15.0,0.219,0.27,-0.294,-0.347,0.242
E04,-10.088,4.912,15.0,0.266,0.342,-0.309,-0.358,0.309
E05,-14.407,0.593,35.0,0.017,0.02,,,0.019
E06,-13.324,1.676,75.0,0.021,0.029,-0.103,-0.196,0.028
E07,-13.798,1.202,50.0,0.024,0.035,-0.125,-0.125,0.032
E08,-13.016,1.984,5.0,0.212,0.392,-0.09,-0.09,0.111
E09,-9.095,5.905,10.0,0.478,0.554,-0.68,-0.68,0.478
E10,-14.88,0.12,5.0,0.02,0.022,,,0.02
E11,-14.542,0.458,20.0,0.02,0.022,,,0.02
E12,-14.876,0.124,5.0,0.024,0.029,,,0.024
E13,-9.859,5.141,10.0,0.412,0.565,-0.052,-0.286,0.412
E14,-14.758,0.242,5.0,0.026,0.027,-0.011,-0.011,0.014
E15,-14.643,0.357,10.0,0.025,0.026,,,0.025
E16,-14.51,0.49,15.0,0.025,0.026,,,0.024
E17,-14.463,0.537,20.0,0.023,0.023,,,0.023
E18,-14.302,0.698,30.0,0.022,0.024,-0.0,-0.0,0.022
E19,-14.249,0.751,30.0,0.022,0.024,-0.033,-0.033,0.023
E20,-13.969,1.031,15.0,0.052,0.134,-0.083,-0.159,0.025
E21,-7.688,7.312,0.0,1.568,1.568,-0.181,-0.734,0.206
E22,-13.593,1.407,20.0,0.059,0.069,-0.149,-0.149,0.064
E23,-13.949,1.051,15.0,0.056,0.066,-0.184,-0.184,0.061
E24,-14.0,1.0,15.0,0.055,0.062,-0.004,-0.004,0.057
E25,-13.959,1.041,15.0,0.052,0.059,-0.009,-0.009,0.054
E26,-14.959,0.041,0.0,0.033,0.033,,,0.033
E27,-14.805,0.195,5.0,0.032,0.033,-0.021,-0.021,0.015
E28,-14.569,0.431,15.0,0.027,0.034,,,0.031
E29,-14.397,0.603,20.0,0.029,0.034,-0.108,-0.108,0.031
E30,-6.529,8.471,80.0,0.1,0.408,-0.35,-0.506,0.029
E31,-12.101,2.899,60.0,0.051,0.099,-0.384,-0.384,0.085
E32,-13.782,1.218,20.0,0.049,0.061,-0.218,-0.218,0.058
E33,-14.826,0.174,0.0,0.038,0.038,,,0.038
E34,-14.828,0.172,0.0,0.179,0.179,,,0.179
E35,-6.855,8.145,25.0,0.272,0.5,-0.412,-0.648,0.148
E36,-14.234,0.766,15.0,0.043,0.05,,,0.046
E37,-12.377,2.623,5.0,0.401,0.534,-0.088,-0.154,0.26
E38,-10.218,4.782,15.0,0.241,0.698,-0.174,-0.304,0.266
E39,-14.42,0.58,15.0,0.039,0.042,-0.101,-0.101,0.04
E40,-14.689,0.311,5.0,0.045,0.047,,,0.045
E41,-14.785,0.215,0.0,0.046,0.046,,,0.046
E42,-4.698,10.302,25.0,0.345,0.586,-0.491,-0.741,0.189
E43,-8.097,6.903,20.0,0.314,0.432,-0.574,-0.633,0.357
