tipo,inicio_art,fin_art,duracion_min,n_periodos_5min,temp_pico_c,momento_pico_art,temp_promedio_episodio_c,tiempo_pico_a_normal_min
sobre_umbral_alto_-15C,2026-08-19T14:12:22-03:00,2026-08-19T14:37:22-03:00,25.0,5,-9.562,2026-08-19T14:22:22-03:00,-12.182,15.0
sobre_umbral_alto_-15C,2026-08-19T21:42:26-03:00,2026-08-19T21:47:26-03:00,5.0,1,-14.062,2026-08-19T21:42:26-03:00,-14.893,5.0
sobre_umbral_alto_-15C,2026-08-20T13:32:35-03:00,2026-08-20T14:02:36-03:00,30.0,6,-10.75,2026-08-20T13:47:36-03:00,-12.627,15.0
sobre_umbral_alto_-15C,2026-08-21T15:22:50-03:00,2026-08-21T15:57:50-03:00,35.0,7,-9.938,2026-08-21T15:37:50-03:00,-12.307,20.0
sobre_umbral_alto_-15C,2026-08-22T07:37:58-03:00,2026-08-22T08:17:59-03:00,40.0,8,-14.312,2026-08-22T08:12:59-03:00,-14.682,5.0
sobre_umbral_alto_-15C,2026-08-22T09:42:59-03:00,2026-08-22T11:13:00-03:00,90.0,18,-13.25,2026-08-22T10:58:00-03:00,-14.018,15.0
sobre_umbral_alto_-15C,2026-08-22T12:08:00-03:00,2026-08-22T13:08:01-03:00,60.0,12,-13.75,2026-08-22T12:58:01-03:00,-14.324,10.0
sobre_umbral_alto_-15C,2026-08-22T13:48:01-03:00,2026-08-22T14:03:01-03:00,15.0,3,-12.25,2026-08-22T13:48:01-03:00,-13.219,15.0
sobre_umbral_alto_-15C,2026-08-22T18:43:04-03:00,2026-08-22T19:03:04-03:00,20.0,4,-8.5,2026-08-22T18:53:04-03:00,-11.954,10.0
sobre_umbral_alto_-15C,2026-08-23T06:43:11-03:00,2026-08-23T06:53:11-03:00,10.0,2,-14.75,2026-08-23T06:48:11-03:00,-14.923,5.0
sobre_umbral_alto_-15C,2026-08-23T08:33:11-03:00,2026-08-23T08:58:12-03:00,25.0,5,-14.438,2026-08-23T08:53:12-03:00,-14.749,5.0
sobre_umbral_alto_-15C,2026-08-23T10:13:12-03:00,2026-08-23T10:23:12-03:00,10.0,2,-14.75,2026-08-23T10:18:12-03:00,-14.923,5.0
sobre_umbral_alto_-15C,2026-08-23T20:57:50-03:00,2026-08-23T22:07:52-03:00,70.0,14,-8.375,2026-08-23T21:07:50-03:00,-11.636,60.0
sobre_umbral_alto_-15C,2026-08-24T01:02:53-03:00,2026-08-24T01:17:53-03:00,15.0,3,-14.438,2026-08-24T01:12:53-03:00,-14.822,5.0
sobre_umbral_alto_-15C,2026-08-24T02:52:54-03:00,2026-08-24T03:07:54-03:00,15.0,3,-14.562,2026-08-24T03:02:54-03:00,-14.765,5.0
sobre_umbral_alto_-15C,2026-08-24T04:42:55-03:00,2026-08-24T05:02:56-03:00,20.0,4,-14.375,2026-08-24T04:57:56-03:00,-14.697,5.0
sobre_umbral_alto_-15C,2026-08-24T06:32:56-03:00,2026-08-24T06:57:57-03:00,25.0,5,-14.375,2026-08-24T06:52:57-03:00,-14.687,5.0
sobre_umbral_alto_-15C,2026-08-24T08:27:58-03:00,2026-08-24T09:07:58-03:00,40.0,8,-14.062,2026-08-24T09:02:58-03:00,-14.581,5.0
sobre_umbral_alto_-15C,2026-08-24T10:27:59-03:00,2026-08-24T11:07:59-03:00,40.0,8,-14.062,2026-08-24T11:02:59-03:00,-14.551,5.0
sobre_umbral_alto_-15C,2026-08-24T12:18:00-03:00,2026-08-24T12:48:00-03:00,30.0,6,-13.875,2026-08-24T12:33:00-03:00,-14.51,15.0
sobre_umbral_alto_-15C,2026-08-24T13:18:01-03:00,2026-08-24T14:03:01-03:00,45.0,9,-3.812,2026-08-24T13:18:01-03:00,-12.231,45.0
sobre_umbral_alto_-15C,2026-08-24T14:58:01-03:00,2026-08-24T15:28:02-03:00,30.0,6,-13.5,2026-08-24T15:18:01-03:00,-14.167,10.0
sobre_umbral_alto_-15C,2026-08-24T16:33:03-03:00,2026-08-24T16:58:04-03:00,25.0,5,-13.875,2026-08-24T16:48:04-03:00,-14.44,10.0
sobre_umbral_alto_-15C,2026-08-24T18:03:04-03:00,2026-08-24T18:28:04-03:00,25.0,5,-13.812,2026-08-24T18:23:04-03:00,-14.325,5.0
sobre_umbral_alto_-15C,2026-08-24T19:38:05-03:00,2026-08-24T20:03:06-03:00,25.0,5,-13.75,2026-08-24T19:58:05-03:00,-14.263,5.0
sobre_umbral_alto_-15C,2026-08-25T01:18:08-03:00,2026-08-25T01:23:08-03:00,5.0,1,-14.875,2026-08-25T01:18:08-03:00,-14.959,5.0
sobre_umbral_alto_-15C,2026-08-25T02:53:09-03:00,2026-08-25T03:08:09-03:00,15.0,3,-14.688,2026-08-25T03:03:09-03:00,-14.893,5.0
sobre_umbral_alto_-15C,2026-08-25T04:33:10-03:00,2026-08-25T04:53:10-03:00,20.0,4,-14.5,2026-08-25T04:48:10-03:00,-14.734,5.0
sobre_umbral_alto_-15C,2026-08-25T06:18:11-03:00,2026-08-25T06:48:11-03:00,30.0,6,-14.312,2026-08-25T06:38:11-03:00,-14.709,10.0
sobre_umbral_alto_-15C,2026-08-25T08:08:12-03:00,2026-08-25T09:53:13-03:00,105.0,21,-5.688,2026-08-25T09:28:13-03:00,-12.605,25.0
sobre_umbral_alto_-15C,2026-08-25T10:13:13-03:00,2026-08-25T11:23:14-03:00,70.0,14,-11.5,2026-08-25T11:13:14-03:00,-13.335,10.0
sobre_umbral_alto_-15C,2026-08-25T12:18:14-03:00,2026-08-25T12:48:15-03:00,30.0,6,-13.688,2026-08-25T12:38:15-03:00,-14.307,10.0
sobre_umbral_alto_-15C,2026-08-25T13:53:15-03:00,2026-08-25T13:58:15-03:00,5.0,1,-14.75,2026-08-25T13:53:15-03:00,-14.826,5.0
sobre_umbral_alto_-15C,2026-08-25T20:53:18-03:00,2026-08-25T20:58:18-03:00,5.0,1,-14.625,2026-08-25T20:53:18-03:00,-14.828,5.0
sobre_umbral_alto_-15C,2026-08-26T10:23:24-03:00,2026-08-26T11:08:25-03:00,45.0,9,-6.562,2026-08-26T10:48:24-03:00,-10.842,20.0
sobre_umbral_alto_-15C,2026-08-26T12:13:25-03:00,2026-08-26T12:33:26-03:00,20.0,4,-14.188,2026-08-26T12:28:26-03:00,-14.519,5.0
sobre_umbral_alto_-15C,2026-08-26T13:33:26-03:00,2026-08-26T13:53:26-03:00,20.0,4,-11.562,2026-08-26T13:33:26-03:00,-12.961,20.0
sobre_umbral_alto_-15C,2026-08-26T20:38:30-03:00,2026-08-26T21:13:30-03:00,35.0,7,-8.562,2026-08-26T20:48:30-03:00,-12.272,25.0
sobre_umbral_alto_-15C,2026-08-27T01:28:33-03:00,2026-08-27T01:53:33-03:00,25.0,5,-14.312,2026-08-27T01:43:33-03:00,-14.746,10.0
sobre_umbral_alto_-15C,2026-08-27T03:13:34-03:00,2026-08-27T03:23:34-03:00,10.0,2,-14.562,2026-08-27T03:18:34-03:00,-14.798,5.0
sobre_umbral_alto_-15C,2026-08-27T04:53:35-03:00,2026-08-27T04:58:35-03:00,5.0,1,-14.688,2026-08-27T04:53:35-03:00,-14.785,5.0
sobre_umbral_alto_-15C,2026-08-27T19:58:44-03:00,2026-08-27T20:48:44-03:00,50.0,10,-4.062,2026-08-27T20:23:44-03:00,-10.076,25.0
bajo_umbral_bajo_-25C,2026-08-28T14:58:53-03:00,2026-08-28T15:08:53-03:00,10.0,2,-25.25,2026-08-28T14:58:53-03:00,-24.768,10.0
bajo_umbral_bajo_-25C,2026-08-28T16:28:54-03:00,2026-08-28T16:43:54-03:00,15.0,3,-25.562,2026-08-28T16:38:54-03:00,-25.25,5.0
bajo_umbral_bajo_-25C,2026-08-28T17:53:55-03:00,2026-08-28T18:13:55-03:00,20.0,4,-25.625,2026-08-28T18:08:55-03:00,-25.102,5.0
bajo_umbral_bajo_-25C,2026-08-28T19:18:56-03:00,2026-08-28T19:38:56-03:00,20.0,4,-25.875,2026-08-28T19:33:56-03:00,-25.384,5.0
bajo_umbral_bajo_-25C,2026-08-28T20:58:57-03:00,2026-08-28T21:08:57-03:00,10.0,2,-25.438,2026-08-28T21:03:57-03:00,-24.997,5.0
sobre_umbral_alto_-15C,2026-08-28T22:33:59-03:00,2026-08-28T23:08:59-03:00,35.0,7,-7.688,2026-08-28T22:53:59-03:00,-11.338,15.0
