id,period_start_art,period_end_art,period_start_utc,period_end_utc,min_value_c,max_value_c,avg_value_c,sample_count,created_at_art
92,2026-08-19T00:02:15-03:00,2026-08-19T00:07:16-03:00,2026-08-19T03:02:15+00:00,2026-08-19T03:07:16+00:00,-22.75,-21.9375,-22.36354,60,2026-08-19T00:05:45.292602-03:00
93,2026-08-19T00:07:16-03:00,2026-08-19T00:12:16-03:00,2026-08-19T03:07:16+00:00,2026-08-19T03:12:16+00:00,-22.875,-22,-22.49896,60,2026-08-19T00:10:45.832319-03:00
94,2026-08-19T00:12:16-03:00,2026-08-19T00:17:16-03:00,2026-08-19T03:12:16+00:00,2026-08-19T03:17:16+00:00,-21.9375,-21,-21.47083,60,2026-08-19T00:15:46.457028-03:00
95,2026-08-19T00:17:16-03:00,2026-08-19T00:22:16-03:00,2026-08-19T03:17:16+00:00,2026-08-19T03:22:16+00:00,-21,-20.25,-20.63333,60,2026-08-19T00:20:46.023270-03:00
96,2026-08-19T00:22:16-03:00,2026-08-19T00:27:16-03:00,2026-08-19T03:22:16+00:00,2026-08-19T03:27:16+00:00,-20.25,-19.6875,-19.96458,60,2026-08-19T00:25:45.786139-03:00
97,2026-08-19T00:27:16-03:00,2026-08-19T00:32:16-03:00,2026-08-19T03:27:16+00:00,2026-08-19T03:32:16+00:00,-19.6875,-19.1875,-19.43229,60,2026-08-19T00:30:46.092954-03:00
98,2026-08-19T00:32:16-03:00,2026-08-19T00:37:16-03:00,2026-08-19T03:32:16+00:00,2026-08-19T03:37:16+00:00,-19.1875,-18.75,-18.97708,60,2026-08-19T00:35:45.628622-03:00
99,2026-08-19T00:37:16-03:00,2026-08-19T00:42:16-03:00,2026-08-19T03:37:16+00:00,2026-08-19T03:42:16+00:00,-18.75,-18.4375,-18.59687,60,2026-08-19T00:40:45.620241-03:00
100,2026-08-19T00:42:16-03:00,2026-08-19T00:47:16-03:00,2026-08-19T03:42:16+00:00,2026-08-19T03:47:16+00:00,-18.4375,-18.125,-18.26875,60,2026-08-19T00:45:45.813893-03:00
101,2026-08-19T00:47:16-03:00,2026-08-19T00:52:16-03:00,2026-08-19T03:47:16+00:00,2026-08-19T03:52:16+00:00,-18.125,-17.875,-17.98021,60,2026-08-19T00:50:46.129108-03:00
102,2026-08-19T00:52:16-03:00,2026-08-19T00:57:16-03:00,2026-08-19T03:52:16+00:00,2026-08-19T03:57:16+00:00,-17.875,-17.625,-17.71875,60,2026-08-19T00:55:46.167479-03:00
103,2026-08-19T00:57:16-03:00,2026-08-19T01:02:16-03:00,2026-08-19T03:57:16+00:00,2026-08-19T04:02:16+00:00,-17.625,-17.375,-17.49375,60,2026-08-19T01:00:46.281037-03:00
104,2026-08-19T01:02:16-03:00,2026-08-19T01:07:16-03:00,2026-08-19T04:02:16+00:00,2026-08-19T04:07:16+00:00,-17.375,-17.1875,-17.28958,60,2026-08-19T01:05:46.171311-03:00
105,2026-08-19T01:07:16-03:00,2026-08-19T01:12:16-03:00,2026-08-19T04:07:16+00:00,2026-08-19T04:12:16+00:00,-17.1875,-17,-17.09896,60,2026-08-19T01:10:46.700192-03:00
106,2026-08-19T01:12:16-03:00,2026-08-19T01:17:16-03:00,2026-08-19T04:12:16+00:00,2026-08-19T04:17:16+00:00,-17,-16.875,-16.92917,60,2026-08-19T01:15:45.776486-03:00
107,2026-08-19T01:17:16-03:00,2026-08-19T01:22:16-03:00,2026-08-19T04:17:16+00:00,2026-08-19T04:22:16+00:00,-16.875,-16.75,-16.78333,60,2026-08-19T01:20:46.276994-03:00
108,2026-08-19T01:22:16-03:00,2026-08-19T01:27:16-03:00,2026-08-19T04:22:16+00:00,2026-08-19T04:27:16+00:00,-18.5625,-16.875,-17.6125,60,2026-08-19T01:25:46.253554-03:00
109,2026-08-19T01:27:16-03:00,2026-08-19T01:32:16-03:00,2026-08-19T04:27:16+00:00,2026-08-19T04:32:16+00:00,-20.4375,-18.5625,-19.53437,60,2026-08-19T01:30:46.074598-03:00
110,2026-08-19T01:32:16-03:00,2026-08-19T01:37:16-03:00,2026-08-19T04:32:16+00:00,2026-08-19T04:37:16+00:00,-21.8125,-20.4375,-21.16354,60,2026-08-19T01:35:46.254751-03:00
111,2026-08-19T01:37:16-03:00,2026-08-19T01:42:16-03:00,2026-08-19T04:37:16+00:00,2026-08-19T04:42:16+00:00,-22.625,-21.8125,-22.29792,60,2026-08-19T01:40:46.213939-03:00
112,2026-08-19T01:42:16-03:00,2026-08-19T01:47:16-03:00,2026-08-19T04:42:16+00:00,2026-08-19T04:47:16+00:00,-22.5,-21.4375,-21.95417,60,2026-08-19T01:45:46.586831-03:00
113,2026-08-19T01:47:16-03:00,2026-08-19T01:52:16-03:00,2026-08-19T04:47:16+00:00,2026-08-19T04:52:16+00:00,-21.375,-20.5625,-20.95625,60,2026-08-19T01:50:46.134710-03:00
114,2026-08-19T01:52:16-03:00,2026-08-19T01:57:16-03:00,2026-08-19T04:52:16+00:00,2026-08-19T04:57:16+00:00,-20.5625,-19.875,-20.21146,60,2026-08-19T01:55:46.333167-03:00
115,2026-08-19T01:57:16-03:00,2026-08-19T02:02:16-03:00,2026-08-19T04:57:16+00:00,2026-08-19T05:02:16+00:00,-19.875,-19.375,-19.61667,60,2026-08-19T02:00:46.165895-03:00
116,2026-08-19T02:02:16-03:00,2026-08-19T02:07:16-03:00,2026-08-19T05:02:16+00:00,2026-08-19T05:07:16+00:00,-19.375,-18.9375,-19.1375,60,2026-08-19T02:05:46.235871-03:00
117,2026-08-19T02:07:16-03:00,2026-08-19T02:12:16-03:00,2026-08-19T05:07:16+00:00,2026-08-19T05:12:16+00:00,-18.875,-18.5625,-18.71354,60,2026-08-19T02:10:46.408524-03:00
118,2026-08-19T02:12:16-03:00,2026-08-19T02:17:16-03:00,2026-08-19T05:12:16+00:00,2026-08-19T05:17:16+00:00,-18.5,-18.1875,-18.34896,60,2026-08-19T02:15:46.963259-03:00
119,2026-08-19T02:17:16-03:00,2026-08-19T02:22:17-03:00,2026-08-19T05:17:16+00:00,2026-08-19T05:22:17+00:00,-18.1875,-17.875,-18.02188,60,2026-08-19T02:20:46.332875-03:00
120,2026-08-19T02:22:17-03:00,2026-08-19T02:27:17-03:00,2026-08-19T05:22:17+00:00,2026-08-19T05:27:17+00:00,-17.875,-17.625,-17.74271,60,2026-08-19T02:25:46.391457-03:00
121,2026-08-19T02:27:17-03:00,2026-08-19T02:32:17-03:00,2026-08-19T05:27:17+00:00,2026-08-19T05:32:17+00:00,-17.625,-17.375,-17.49896,60,2026-08-19T02:30:46.050388-03:00
122,2026-08-19T02:32:17-03:00,2026-08-19T02:37:17-03:00,2026-08-19T05:32:17+00:00,2026-08-19T05:37:17+00:00,-17.375,-17.1875,-17.28021,60,2026-08-19T02:35:46.352000-03:00
123,2026-08-19T02:37:17-03:00,2026-08-19T02:42:17-03:00,2026-08-19T05:37:17+00:00,2026-08-19T05:42:17+00:00,-17.1875,-17,-17.08125,60,2026-08-19T02:40:46.026667-03:00
124,2026-08-19T02:42:17-03:00,2026-08-19T02:47:17-03:00,2026-08-19T05:42:17+00:00,2026-08-19T05:47:17+00:00,-17,-16.8125,-16.90417,60,2026-08-19T02:45:46.362876-03:00
125,2026-08-19T02:47:17-03:00,2026-08-19T02:52:17-03:00,2026-08-19T05:47:17+00:00,2026-08-19T05:52:17+00:00,-16.8125,-16.625,-16.73542,60,2026-08-19T02:50:46.492569-03:00
126,2026-08-19T02:52:17-03:00,2026-08-19T02:57:17-03:00,2026-08-19T05:52:17+00:00,2026-08-19T05:57:17+00:00,-16.625,-16.5,-16.58958,60,2026-08-19T02:55:46.433396-03:00
127,2026-08-19T02:57:17-03:00,2026-08-19T03:02:17-03:00,2026-08-19T05:57:17+00:00,2026-08-19T06:02:17+00:00,-16.5,-16.375,-16.45417,60,2026-08-19T03:00:46.333371-03:00
128,2026-08-19T03:02:17-03:00,2026-08-19T03:07:17-03:00,2026-08-19T06:02:17+00:00,2026-08-19T06:07:17+00:00,-16.625,-16.3125,-16.39688,60,2026-08-19T03:05:47.125281-03:00
129,2026-08-19T03:07:17-03:00,2026-08-19T03:12:17-03:00,2026-08-19T06:07:17+00:00,2026-08-19T06:12:17+00:00,-18.625,-16.625,-17.59687,60,2026-08-19T03:10:46.710153-03:00
130,2026-08-19T03:12:17-03:00,2026-08-19T03:17:17-03:00,2026-08-19T06:12:17+00:00,2026-08-19T06:17:17+00:00,-20.5,-18.6875,-19.64896,60,2026-08-19T03:15:46.354469-03:00
131,2026-08-19T03:17:17-03:00,2026-08-19T03:22:17-03:00,2026-08-19T06:17:17+00:00,2026-08-19T06:22:17+00:00,-21.875,-20.5625,-21.23646,60,2026-08-19T03:20:46.518317-03:00
132,2026-08-19T03:22:17-03:00,2026-08-19T03:27:17-03:00,2026-08-19T06:22:17+00:00,2026-08-19T06:27:17+00:00,-22.1875,-21.4375,-21.90417,60,2026-08-19T03:25:46.818917-03:00
133,2026-08-19T03:27:17-03:00,2026-08-19T03:32:17-03:00,2026-08-19T06:27:17+00:00,2026-08-19T06:32:17+00:00,-21.4375,-20.5,-20.93958,60,2026-08-19T03:30:46.515637-03:00
134,2026-08-19T03:32:17-03:00,2026-08-19T03:37:17-03:00,2026-08-19T06:32:17+00:00,2026-08-19T06:37:17+00:00,-20.5,-19.8125,-20.11875,60,2026-08-19T03:35:46.459102-03:00
135,2026-08-19T03:37:17-03:00,2026-08-19T03:42:17-03:00,2026-08-19T06:37:17+00:00,2026-08-19T06:42:17+00:00,-19.75,-19.1875,-19.48542,60,2026-08-19T03:40:46.377360-03:00
136,2026-08-19T03:42:17-03:00,2026-08-19T03:47:17-03:00,2026-08-19T06:42:17+00:00,2026-08-19T06:47:17+00:00,-19.1875,-18.75,-18.97604,60,2026-08-19T03:45:46.175466-03:00
137,2026-08-19T03:47:17-03:00,2026-08-19T03:52:17-03:00,2026-08-19T06:47:17+00:00,2026-08-19T06:52:17+00:00,-18.75,-18.375,-18.55521,60,2026-08-19T03:50:46.653045-03:00
138,2026-08-19T03:52:17-03:00,2026-08-19T03:57:17-03:00,2026-08-19T06:52:17+00:00,2026-08-19T06:57:17+00:00,-18.375,-18,-18.18542,60,2026-08-19T03:55:46.981709-03:00
139,2026-08-19T03:57:17-03:00,2026-08-19T04:02:17-03:00,2026-08-19T06:57:17+00:00,2026-08-19T07:02:17+00:00,-18,-17.6875,-17.85,60,2026-08-19T04:00:46.463662-03:00
140,2026-08-19T04:02:17-03:00,2026-08-19T04:07:17-03:00,2026-08-19T07:02:17+00:00,2026-08-19T07:07:17+00:00,-17.6875,-17.4375,-17.55625,60,2026-08-19T04:05:46.548239-03:00
141,2026-08-19T04:07:17-03:00,2026-08-19T04:12:17-03:00,2026-08-19T07:07:17+00:00,2026-08-19T07:12:17+00:00,-17.4375,-17.1875,-17.30104,60,2026-08-19T04:10:46.457486-03:00
