fecha,n_periodos,temp_min,temp_max,temp_prom_ponderado,temp_mediana,temp_desvio,periodos_avg_sobre_umbral_alto,periodos_min_bajo_umbral_bajo
2026-08-19,288,-24.875,-9.562,-19.337,-19.405,2.723,6,0
2026-08-20,288,-24.375,-10.75,-19.615,-19.755,2.299,6,0
2026-08-21,288,-24.375,-9.938,-18.723,-18.509,2.048,7,0
2026-08-22,287,-24.188,-8.5,-17.44,-17.13,2.562,45,0
2026-08-23,287,-24.375,-8.375,-17.789,-17.258,2.743,23,0
2026-08-24,288,-22.875,-3.812,-16.491,-15.906,2.147,67,0
2026-08-25,288,-23.688,-5.688,-17.421,-17.41,2.856,57,0
2026-08-26,288,-24.875,-6.562,-18.384,-18.139,3.127,24,0
2026-08-27,288,-24.812,-4.062,-18.108,-17.87,2.95,18,0
2026-08-28,288,-25.875,-7.688,-19.529,-19.442,3.17,7,15
